department,grade,category,category_kor,expected_count,actual_count,missing_count,extra_count,missing_codes,extra_codes,status,api_status,http_code
법학과,1,MAJOR_BASIC,전기,4,4,0,0,,,PASS,OK,200
법학과,1,MAJOR_ELECTIVE,전선,6,6,0,0,,,PASS,OK,200
법학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
법학과,2,MAJOR_BASIC,전기,3,3,0,0,,,PASS,OK,200
법학과,2,MAJOR_ELECTIVE,전선,15,15,0,0,,,PASS,OK,200
법학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
법학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
법학과,3,MAJOR_ELECTIVE,전선,25,25,0,0,,,PASS,OK,200
법학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
법학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
법학과,4,MAJOR_ELECTIVE,전선,22,22,0,0,,,PASS,OK,200
법학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
법학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
법학과,5,MAJOR_ELECTIVE,전선,5,5,0,0,,,PASS,OK,200
벤처중소기업학과,1,MAJOR_REQUIRED,전필,26,26,0,0,,,PASS,OK,200
벤처중소기업학과,1,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
벤처중소기업학과,1,MAJOR_ELECTIVE,전선,9,9,0,0,,,PASS,OK,200
벤처중소기업학과,2,MAJOR_REQUIRED,전필,17,17,0,0,,,PASS,OK,200
벤처중소기업학과,2,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
벤처중소기업학과,2,MAJOR_ELECTIVE,전선,28,28,0,0,,,PASS,OK,200
벤처중소기업학과,3,MAJOR_REQUIRED,전필,13,13,0,0,,,PASS,OK,200
벤처중소기업학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
벤처중소기업학과,3,MAJOR_ELECTIVE,전선,29,29,0,0,,,PASS,OK,200
벤처중소기업학과,4,MAJOR_REQUIRED,전필,13,13,0,0,,,PASS,OK,200
벤처중소기업학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
벤처중소기업학과,4,MAJOR_ELECTIVE,전선,29,29,0,0,,,PASS,OK,200
벤처중소기업학과,5,MAJOR_REQUIRED,전필,13,13,0,0,,,PASS,OK,200
벤처중소기업학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
벤처중소기업학과,5,MAJOR_ELECTIVE,전선,9,9,0,0,,,PASS,OK,200
복지경영학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
복지경영학과,1,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
복지경영학과,1,MAJOR_ELECTIVE,전선,12,12,0,0,,,PASS,OK,200
복지경영학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
복지경영학과,2,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
복지경영학과,2,MAJOR_ELECTIVE,전선,16,16,0,0,,,PASS,OK,200
복지경영학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
복지경영학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
복지경영학과,3,MAJOR_ELECTIVE,전선,22,22,0,0,,,PASS,OK,200
