course_code,course_name,track_type,completion_type,department_id,department_name,raw_classification,raw_department_token
2150164106,고급프로그래밍,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150164107,고급프로그래밍,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150164108,고급프로그래밍,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165401,운영체제,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165402,운영체제,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165601,데이터베이스,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165602,데이터베이스,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165603,데이터베이스,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165604,데이터베이스,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165701,네트워크,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165702,네트워크,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165703,네트워크,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165704,네트워크,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165801,시스템프로그래밍,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165802,시스템프로그래밍,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150165803,시스템프로그래밍,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150166001,데이터사이언스,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150166002,데이터사이언스,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150166101,딥러닝프로그래밍,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150166102,딥러닝프로그래밍,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150166103,딥러닝프로그래밍,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150166104,딥러닝프로그래밍,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150166201,로봇프로그래밍,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150167501,캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150167502,캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150167601,고급캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150167602,고급캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150167603,고급캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150167604,고급캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150167605,고급캡스톤디자인,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150168401,컴퓨터비전,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150168402,컴퓨터비전,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150168601,AI가속기,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150168602,AI가속기,DOUBLE_MAJOR,ELECTIVE,2,AI융합학부,복선,AI융합
2150163701,머신러닝,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150163702,머신러닝,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150163703,머신러닝,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150163704,머신러닝,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150163801,컴퓨터구조,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150163802,컴퓨터구조,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150163803,컴퓨터구조,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150163804,컴퓨터구조,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150163805,컴퓨터구조,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150163806,컴퓨터구조,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150164001,고급AI수학,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150164002,고급AI수학,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150164003,고급AI수학,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150164004,고급AI수학,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150164005,고급AI수학,DOUBLE_MAJOR,REQUIRED,2,AI융합학부,복필,AI융합
2150041901,건축시스템종합설계,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150081801,건축환경과안전,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150105801,건축설비1,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150179701,스마트건설과AI,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150206601,철근콘크리트1,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150314301,재료역학및실습,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150439701,건축재료및실험,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150480301,기초건축설계1,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150480302,기초건축설계1,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150480303,기초건축설계1,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150480304,기초건축설계1,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150497501,건축구조시스템,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150505101,건축경제,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150505201,건축법규및계약,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150505601,건축시공,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150535201,건축환경물리,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150535202,건축환경물리,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150574701,건축구조설계입문,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150608701,건축BIM,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150651901,건축개론,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150651902,건축개론,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
5010198901,물리1및실험,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
5010198902,물리1및실험,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
5010198903,물리1및실험,DOUBLE_MAJOR,ELECTIVE,24,건축학부 건축공학전공,복선,건축공학
2150041701,건축환경공학,DOUBLE_MAJOR,REQUIRED,24,건축학부 건축공학전공,복필,건축공학
2150017101,디자인과인문학,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150017201,드로잉&드래프팅,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150017202,드로잉&드래프팅,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150017301,디지털디자인,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150042401,공간디자인사,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150042701,공간심리학,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150323601,디자인과컬러,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150362401,디지털표현기법,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150379901,주거공간디자인스튜디오,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150379902,주거공간디자인스튜디오,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150380101,공간계획과휴먼스케일,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150413001,컨버전스디자인스튜디오,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150413002,컨버전스디자인스튜디오,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150413301,가구계획과디자인,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150483901,컨스트럭션디테일링,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150505601,건축시공,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150506601,한국공간의이해,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150506801,브랜딩디자인,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150585601,서스테이너블디자인,DOUBLE_MAJOR,ELECTIVE,27,건축학부 실내건축전공,복선,실내건축
2150413201,어드밴스드디자인스튜디오1,DOUBLE_MAJOR,REQUIRED,27,건축학부 실내건축전공,복필,실내건축
2150413202,어드밴스드디자인스튜디오1,DOUBLE_MAJOR,REQUIRED,27,건축학부 실내건축전공,복필,실내건축
2150035701,컴퓨터재무분석,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150059401,[심화]Co-op SAP 트랙,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150079301,소매와로지스틱스에서의AI실무,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150097401,비즈니스협상,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150097402,비즈니스협상,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150097403,비즈니스협상,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150097404,비즈니스협상,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150097405,비즈니스협상,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150188701,인적자원관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150188702,인적자원관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150188703,인적자원관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150188704,인적자원관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150188705,인적자원관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150188706,인적자원관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150188707,인적자원관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150188708,인적자원관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150188709,인적자원관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150188710,인적자원관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150238401,금융시장론,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150238402,금융시장론,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150238403,금융시장론,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150324001,비즈니스머신러닝과인공지능응용,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150328201,Entrepreneurship,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150328202,Entrepreneurship,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150328203,Entrepreneurship,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150340001,디지털마케팅방법론,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150340002,디지털마케팅방법론,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150340201,조직개발론,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150340202,조직개발론,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150340203,조직개발론,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150340204,조직개발론,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150348201,금융투자관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150348202,금융투자관리,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150364601,글로벌전략경영,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150364602,글로벌전략경영,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150364603,글로벌전략경영,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150364604,글로벌전략경영,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
2150404001,거시조직론,DOUBLE_MAJOR,ELECTIVE,11,경영학부,복선,경영학부
