issue,track_type,completion_type,course_code,course_name,major_department,detail
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150404004,거시조직론,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150433404,프로세스관리,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150446405,품질경영,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150446406,품질경영,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150547203,서비스마케팅,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150567307,경영학의이해,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150567308,경영학의이해,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150568108,경영수리와통계,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150568109,경영수리와통계,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150672704,소비자행동론,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150811406,오퍼레이션매니지먼트,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150811407,오퍼레이션매니지먼트,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,5010247405,비즈니스커뮤니케이션,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,5010247406,비즈니스커뮤니케이션,경영학부,student_type=GENERAL target 없음
NO_SCOPE_MATCH_ALLOW,MINOR,ELECTIVE,2150642001,회계원리,회계학과,해당 학과/단과대/전체 범위에 맞는 GENERAL 허용 target 없음
NO_SCOPE_MATCH_ALLOW,MINOR,ELECTIVE,2150642002,회계원리,회계학과,해당 학과/단과대/전체 범위에 맞는 GENERAL 허용 target 없음
NO_SCOPE_MATCH_ALLOW,MINOR,ELECTIVE,2150642006,회계원리,회계학과,해당 학과/단과대/전체 범위에 맞는 GENERAL 허용 target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150108104,경영학의이해,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150108105,경영학의이해,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150108106,경영학의이해,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150117203,관세론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150317005,국제상무론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150317006,국제상무론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150317007,국제상무론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150331804,국제통상개론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150331805,국제통상개론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150331806,국제통상개론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150360904,국제통상법,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150360905,국제통상법,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150372403,글로벌마케팅,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150372404,글로벌마케팅,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150372503,국제결제와신용장,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150404903,국제거래관습,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150435003,국제운송론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150530801,국제통상지역언어,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150530805,국제통상지역언어,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150564502,전자무역과무역법규,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150594603,무역경영론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150620101,중국지역투자실무,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150668803,유럽지역통상론,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,5010234004,통계학,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,5010234005,통계학,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,5010234006,통계학,글로벌통상학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150451102,방송학개론,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150463402,광고론,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150465602,PR론,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150486501,미디어비평,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150518002,커뮤니케이션의이해,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150518003,커뮤니케이션의이해,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150525802,매스미디어의이해,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150525803,매스미디어의이해,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150535402,소셜미디어론,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150545301,고급영상연출론,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150545302,고급영상연출론,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150560302,뉴스의이해,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150563501,미디어플래닝론,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150579502,미디어심리학,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150619201,영상제작연출론1,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150619202,영상제작연출론1,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150619203,영상제작연출론1,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150619401,단편영상의창의적연출,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150619402,단편영상의창의적연출,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150619403,단편영상의창의적연출,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150811102,탐사보도론,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150811202,PR매니지먼트,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150820502,연구조사방법론,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150120802,국어문법론,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150121002,국어음운론,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150222802,현대소설론,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150301502,문학이란무엇인가,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150461302,현대소설강독,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150517202,국어연구의기초,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150517302,전공한문의기초,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150529102,"문학,놀이,상상력",국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150542302,구비문학의이해,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,MINOR,ELECTIVE,2150569402,세계문학과한국문학,국어국문학과,student_type=GENERAL target 없음
