code,name,category,department,target_text,student_type,grade1,grade2,grade3,grade4,grade5,is_strict
5046082701,재무관리,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5046774501,자율주행알고리즘특론,OTHER,AI융합학과,전체,0,1,1,1,1,1,0
5047098101,논문연구II,OTHER,정보과학대학원,전체,0,1,1,1,1,1,0
5047200201,비즈니스 한국어,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5047200601,경영과 문화,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5048284301,얼굴의 철학,OTHER,기독교인문사회학과,전체,0,1,1,1,1,1,0
5048921401,Co-op프로젝트1,OTHER,소프트웨어학과,전체,0,1,1,1,1,1,0
5050473301,e-비즈니스의 이해,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5050474001,전공기초 한국어,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5051244701,디지털 경영학의 이해,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5051245001,마케팅경영전략,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5052350701,금융의이해,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5052351101,재무관리원론,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5052351901,공급체인경영,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5052352301,데이터사이언스,OTHER,전문경영학과,전체,0,1,1,1,1,1,0
5053192001,차세대정보보호이론,OTHER,AI융합보안학과,전체,0,1,1,1,1,1,0
5053192401,네트워크보안,OTHER,AI융합보안학과,전체,0,1,1,1,1,1,0
5054483301,인공지능,OTHER,AI융합보안학과,전체,0,1,1,1,1,1,0
5055340001,디지털 리스크와 기술 거버넌스,OTHER,데이터전략경영학과,전체,0,1,1,1,1,1,0
5055369701,블록체인 설계,OTHER,AI미디어학과,전체,0,1,1,1,1,1,0
5055374801,ITCEO세미나 3,OTHER,정보과학대학원,전체,0,1,1,1,1,1,0
5055397401,인공지능과 법(LOAI),OTHER,정보과학대학원,전체,0,1,1,1,1,1,0
5055467401,데이터베이스특론,OTHER,AI융합보안학과,전체,0,1,1,1,1,1,0
5055476301,시계열분석,OTHER,금융기술융합학과,전체,0,1,1,1,1,1,0
5055476501,자연어처리특론,OTHER,소프트웨어학과,전체,0,1,1,1,1,1,0
5055477701,연구방법론 II,OTHER,미래교육경영학과,전체,0,1,1,1,1,1,0
5055478001,교육시장 마케팅관리,OTHER,미래교육경영학과,전체,0,1,1,1,1,1,0
